Date,Open,High,Low,Close,Adj Close,Volume
2007-11-08,90.650002,90.940002,90.430000,90.559998,57.696434,2179600
2007-11-09,91.040001,91.589996,90.930000,91.330002,58.187004,887200
2007-11-12,91.989998,91.989998,91.349998,91.660004,58.397217,460600
2007-11-13,91.419998,91.489998,91.169998,91.320000,58.180618,1116600
2007-11-14,90.949997,91.510002,90.919998,91.419998,58.244366,684400
2007-11-15,91.610001,92.559998,91.489998,92.279999,58.792244,1312900
2007-11-16,92.269997,92.699997,92.209999,92.410004,58.875069,1333800
2007-11-19,92.540001,93.419998,92.410004,93.010002,59.257313,1343900
2007-11-20,93.089996,93.290001,92.800003,92.910004,59.193642,1367800
2007-11-21,93.400002,93.580002,93.239998,93.449997,59.537628,1297800
2007-11-23,93.440002,93.800003,93.309998,93.730003,59.716076,437400
2007-11-26,94.220001,96.360001,94.120003,95.580002,60.894703,4427000
2007-11-27,94.959999,95.250000,93.989998,94.669998,60.314896,3100300
2007-11-28,94.559998,94.690002,93.839996,94.029999,59.907185,2088100
2007-11-29,94.820000,95.419998,94.660004,94.839996,60.423264,1594500
2007-11-30,93.879997,94.389999,93.739998,94.379997,60.130180,1952100
2007-12-03,94.760002,95.099998,94.279999,94.750000,60.607353,1272700
2007-12-04,94.900002,95.059998,94.150002,94.739998,60.600922,1721200
2007-12-05,94.220001,94.470001,93.559998,93.610001,59.878162,1866000
2007-12-06,93.320000,93.339996,92.540001,92.790001,59.353657,2270200
2007-12-07,92.180000,92.349998,91.379997,91.750000,58.688358,2171000
2007-12-10,91.639999,91.690002,90.750000,91.199997,58.336582,2242500
2007-12-11,91.730003,93.230003,91.580002,92.989998,59.481606,2892400
2007-12-12,91.449997,92.650002,91.269997,92.029999,58.867493,2225400
2007-12-13,91.610001,91.820000,90.900002,91.029999,58.227806,1222100
2007-12-14,90.790001,90.919998,90.500000,90.610001,57.959217,1354900
2007-12-17,91.070000,91.540001,90.930000,91.419998,58.477333,2046200
2007-12-18,91.589996,92.300003,91.550003,92.010002,58.854698,1417100
2007-12-19,92.400002,93.559998,91.879997,93.230003,59.635109,2252400
2007-12-20,93.260002,93.870003,93.019997,93.029999,59.507164,1659400
2007-12-21,92.900002,92.919998,91.660004,91.669998,58.637177,1767600
2007-12-24,91.220001,91.470001,91.080002,91.239998,58.362167,550300
2007-12-26,91.019997,91.629997,90.279999,90.440002,57.850418,674700
2007-12-27,90.879997,91.160004,90.510002,91.059998,58.481094,468600
2007-12-28,91.650002,92.580002,91.500000,92.480003,59.393021,1967800
2007-12-31,92.779999,93.279999,92.599998,93.040001,59.752701,1647600
2008-01-02,93.250000,94.730003,93.199997,94.379997,60.613285,2959600
2008-01-03,94.000000,94.379997,93.669998,94.250000,60.529770,1256700
2008-01-04,94.500000,94.790001,94.199997,94.269997,60.542641,2420200
2008-01-07,94.180000,94.779999,94.029999,94.680000,60.805946,1315500
2008-01-08,94.440002,94.709999,93.930000,94.570000,60.735321,1604800
2008-01-09,94.790001,95.300003,94.620003,94.750000,60.850895,2203500
2008-01-10,94.870003,94.949997,93.309998,93.470001,60.028862,2681800
2008-01-11,93.519997,94.279999,93.400002,94.199997,60.497726,1872900
2008-01-14,94.199997,94.550003,94.000000,94.550003,60.722466,906100
2008-01-15,95.160004,95.629997,95.070000,95.610001,61.403229,1435300
2008-01-16,95.680000,95.889999,94.730003,94.919998,60.960102,3505100
2008-01-17,94.959999,96.290001,94.930000,96.150002,61.750046,2940500
2008-01-18,95.550003,95.769997,95.220001,95.489998,61.326157,2676800
2008-01-22,96.410004,96.620003,95.300003,96.510002,61.981251,5423500
2008-01-23,97.980003,98.160004,95.879997,96.290001,61.839951,7636600
2008-01-24,95.550003,95.750000,94.339996,94.360001,60.600418,5676700
2008-01-25,94.190002,96.000000,94.129997,95.949997,61.621609,4371100
2008-01-28,95.680000,96.000000,95.360001,95.589996,61.390404,1633500
2008-01-29,95.279999,95.320000,94.580002,94.940002,60.972939,3100200
2008-01-30,94.690002,94.769997,93.589996,94.320000,60.574791,3468000
2008-01-31,95.300003,95.430000,94.629997,94.989998,61.005020,11441000
2008-02-01,95.000000,95.400002,94.559998,95.230003,61.371742,4163700
2008-02-04,94.389999,94.660004,94.129997,94.250000,60.740166,1729600
2008-02-05,95.410004,95.610001,94.769997,94.970001,61.204205,2594600
2008-02-06,94.629997,94.849998,94.360001,94.680000,61.017296,1339800
2008-02-07,94.529999,94.529999,92.050003,92.639999,59.702587,5419700
2008-02-08,93.250000,93.730003,93.089996,93.699997,60.385696,2832800
2008-02-11,94.279999,94.699997,93.730003,94.089996,60.637047,2960200
2008-02-12,93.320000,93.650002,92.959999,93.529999,60.276157,2897700
2008-02-13,92.930000,93.419998,92.400002,92.540001,59.638153,3697500
2008-02-14,91.800003,92.099998,90.660004,91.180000,58.761696,7505000
